[2026-04-15T06:43:11.358Z] GET http://localhost:8765/index.html?v=1776235388 → 200 (13ms, 16998B)
[2026-04-15T06:43:11.395Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&display=swap → pending (?ms, ?B)
[2026-04-15T06:43:12.328Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → pending (?ms, ?B)
[2026-04-15T06:44:20.293Z] GET http://localhost:8765/index.html?v=1776235388 → 200 (10ms, 16996B)
[2026-04-15T06:44:20.306Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&display=swap → 200 (?ms, 10028B)
[2026-04-15T06:44:20.318Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-15T06:44:49.721Z] GET http://localhost:8765/index.html?v=1776235489 → 200 (3ms, 16996B)
[2026-04-15T06:44:49.735Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&display=swap → 200 (?ms, 10028B)
[2026-04-15T06:44:49.751Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-15T06:51:42.915Z] GET http://localhost:8765/thanks.html → 200 (324ms, ?B)
[2026-04-15T06:51:43.543Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&display=swap → 200 (2ms, 10028B)
[2026-04-15T06:51:43.817Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, ?B)
